poi shape,poi type,coordinate,latitude,longitude
Point,artwork,"[19.0522101, 47.5189595]",19.0522101,47.5189595
Point,art,"[19.0393124, 47.499053]",19.0393124,47.499053
Point,musical_instrument,"[19.0570317, 47.5041975]",19.0570317,47.5041975
Point,musical_instrument,"[19.0753495, 47.4704508]",19.0753495,47.4704508
Point,music,"[19.0549239, 47.6167335]",19.0549239,47.6167335
Point,musical_instrument,"[19.0573449, 47.5039465]",19.0573449,47.5039465
Point,musical_instrument,"[19.0718225, 47.4931779]",19.0718225,47.4931779
Point,art,"[19.0507951, 47.5022662]",19.0507951,47.5022662
Point,musical_instrument,"[19.0641902, 47.4831383]",19.0641902,47.4831383
Point,hobby,"[19.0643728, 47.4832746]",19.0643728,47.4832746
Point,musical_instrument,"[19.0654282, 47.4843718]",19.0654282,47.4843718
Point,musical_instrument,"[19.0646646, 47.4883919]",19.0646646,47.4883919
Point,musical_instrument,"[19.0697033, 47.4876571]",19.0697033,47.4876571
Point,music,"[19.0660438, 47.4948755]",19.0660438,47.4948755
Point,music,"[19.0673952, 47.4947471]",19.0673952,47.4947471
Point,musical_instrument,"[19.0547705, 47.4969255]",19.0547705,47.4969255
Point,art,"[19.0539672, 47.4958414]",19.0539672,47.4958414
Point,art,"[19.0545428, 47.4964414]",19.0545428,47.4964414
Point,musical_instrument,"[19.0602585, 47.4918195]",19.0602585,47.4918195
Point,music,"[19.0607335, 47.4924917]",19.0607335,47.4924917
Point,art,"[19.0574095, 47.493507]",19.0574095,47.493507
Point,art,"[19.0595584, 47.4893636]",19.0595584,47.4893636
Point,art,"[19.0453508, 47.4766233]",19.0453508,47.4766233
Point,musical_instrument,"[19.0256304, 47.5097627]",19.0256304,47.5097627
Point,musical_instrument,"[19.0547903, 47.5102424]",19.0547903,47.5102424
Point,art,"[19.0554983, 47.4905729]",19.0554983,47.4905729
Point,art,"[19.0555492, 47.490699]",19.0555492,47.490699
Point,music,"[19.0722488, 47.5013284]",19.0722488,47.5013284
Point,musical_instrument,"[19.0722133, 47.5001827]",19.0722133,47.5001827
Point,musical_instrument,"[19.0726599, 47.5002443]",19.0726599,47.5002443
Point,art,"[19.0541099, 47.4889959]",19.0541099,47.4889959
Point,art,"[19.0926349, 47.4803541]",19.0926349,47.4803541
Point,musical_instrument,"[19.0387172, 47.5031707]",19.0387172,47.5031707
Point,musical_instrument,"[19.0514681, 47.4786454]",19.0514681,47.4786454
Point,music,"[19.067914, 47.5017311]",19.067914,47.5017311
Point,art,"[19.0563756, 47.4947845]",19.0563756,47.4947845
Point,art,"[19.0660241, 47.5073258]",19.0660241,47.5073258
Point,art,"[19.0323323, 47.5020006]",19.0323323,47.5020006
Point,art,"[19.0288123, 47.5547274]",19.0288123,47.5547274
Point,musical_instrument,"[19.066821, 47.4962519]",19.066821,47.4962519
Point,musical_instrument,"[19.0775265, 47.5009393]",19.0775265,47.5009393
Point,musical_instrument,"[19.0719437, 47.4694716]",19.0719437,47.4694716
Point,musical_instrument,"[19.0755194, 47.4994821]",19.0755194,47.4994821
Point,musical_instrument,"[19.0755728, 47.4977094]",19.0755728,47.4977094
Point,musical_instrument,"[19.0755998, 47.4976439]",19.0755998,47.4976439